society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
Aa1,!Kung,xd1,juho1239,South-Eastern Ju,Kxa,EA004,0,0-5%,1950,Nyai Nyae region,
Aa2,Dorobo,xd2,okie1245,Okiek,Nilotic,EA004,0,0-5%,1920,with special reference to Central Dorobo,
Aa5,Mbuti,xd5,bila1255,Bila,Atlantic-Congo,EA004,0,0-5%,1930,"Epulu net-hunters, Ituri forest",
Aa7,Naron,xd7,naro1249,Naro,Khoe-Kwadi,EA004,0,0-5%,1910,,
Aa8,/Xam,xd8,xamm1241,/Xam,Tuu,EA004,0,0-5%,1850,,
Aa9,Hadza,xd9,hadz1240,Hadza,,EA004,0,0-5%,1910,Hatsa Kindiga Tribe,
Ac11,Luvale,xd35,luva1239,Luvale,Atlantic-Congo,EA004,0,0-5%,1930,,
Ac17,Suku,xd41,suku1259,Suku,Atlantic-Congo,EA004,0,0-5%,1910,Feshi territory lineage center,
Ac24,Sakata,xd49,saka1287,Sakata,Atlantic-Congo,EA004,0,0-5%,1910,,
Ac29,Luwa,xd54,sond1250,Sonde,Atlantic-Congo,EA004,0,0-5%,1930,,
Ac3,Bemba,xd55,town1238,Town Bemba,Atlantic-Congo,EA004,0,0-5%,1900,Zambia branch,
Ac32,Kaonde,xd58,kaon1241,Kaonde,Atlantic-Congo,EA004,0,0-5%,1920,,
Ac37,Kunda,xd63,kund1255,Chikunda,Atlantic-Congo,EA004,0,0-5%,1950,,
Ac5,Lamba,xd71,lamb1271,Lamba,Atlantic-Congo,EA004,0,0-5%,1920,,
Ad18,Bende,xd85,bend1258,Bende,Atlantic-Congo,EA004,0,0-5%,1910,,
Ad33,Pokomo,xd102,poko1261,Pokomo,Atlantic-Congo,EA004,0,0-5%,1900,,
Ae11,Songola,xd129,song1300,Songoora,Atlantic-Congo,EA004,0,0-5%,1900,,
Ae31,Budu,xd151,budu1250,Budu,Atlantic-Congo,EA004,0,0-5%,1920,,
Ae36,Bombesa,xd156,mbes1238,Mbesa,Atlantic-Congo,EA004,0,0-5%,1920,,
Ae38,Ndoko,xd158,doko1244,Doko (Democratic Republic of Congo),Atlantic-Congo,EA004,0,0-5%,1920,,
Ae39,Ngombe,xd159,binj1250,Binja,Atlantic-Congo,EA004,0,0-5%,1920,,
Ae4,Nkundo,xd160,nkun1238,Nkundo,Atlantic-Congo,EA004,0,0-5%,1930,Ilanga group,
Ae46,Mpongwe,xd167,myen1241,Myene,Atlantic-Congo,EA004,0,0-5%,1870,,
Ae7,Baboa,xd183,bwaa1238,Bwa,Atlantic-Congo,EA004,0,0-5%,1910,,
Af3,Ashanti,xd208,asan1239,Asante,Atlantic-Congo,EA004,0,0-5%,1900,Kumasi State,
Ag7,Bozo,xd295,tiey1235,Tiéyaxo Bozo,Mande,EA004,0,0-5%,1930,,
Ai3,Azande,xd359,zand1248,Zande,Atlantic-Congo,EA004,0,0-5%,1920,,
Ec1,Nivkh,xd617,gily1242,Nivkh,,EA004,0,0-5%,1920,Sakhalin Island,
Ec6,Yukaghir,xd634,nort2745,Northern Yukaghir,Yukaghir,EA004,0,0-5%,1850,Upper Kolyma River,
Ec7,Ainu,xd635,ainu1240,Hokkaido Ainu,Ainu,EA004,0,0-5%,1900,Saru Basin in Hokkaido,
Eg9,Baiga,xd685,chha1249,Chhattisgarhi,Indo-European,EA004,0,0-5%,1930,,
Eh1,Andamanese,xd686,akab1249,Aka-Bea,Great Andamanese,EA004,0,0-5%,1870,,
Eh4,Vedda,xd690,vedd1240,Veddah,Indo-European,EA004,0,0-5%,1900,with special reference to the Rock Vedda,
Ej14,Senoi,xd721,sema1266,Semai,Austroasiatic,EA004,0,0-5%,1960,with special reference to the eastern Semai,
Ej3,Semang,xd725,kens1248,Kensiu,Austroasiatic,EA004,0,0-5%,1920,Jehai Group or subtribe,
Ej6,Moken,xd728,moke1242,Moken,Austronesian,EA004,0,0-5%,1920,of the Mergui Archipelago,
Ia13,Badjau Tawi-Tawi,xd736,sout2918,Southern Sama,Austronesian,EA004,0,0-5%,1960,Tawi-Tawi and adjacent islands,
Ib8,Anak Dalam,xd757,kubu1239,Kubu,Austronesian,EA004,0,0-5%,1900,with special reference to the Ridan group,
Ic10,Tobelorese,xd760,tobe1252,Tobelo,North Halmahera,EA004,0,0-5%,1910,Tobelo District,
Id1,Northern Aranda,xd772,east2379,Eastern Arrernte,Pama-Nyungan,EA004,0,0-5%,1900,Alice Springs and environs,
Id10,Walbiri,xd773,warl1254,Warlpiri,Pama-Nyungan,EA004,0,0-5%,1930,,
Id11,Gidjingali,xd774,gunn1248,Gun-narda,Maningrida,EA004,0,0-5%,1950,,
Id12,Yir Yoront,xd775,jirj1239,Jir'jorond,Pama-Nyungan,EA004,0,0-5%,1930,,
Id13,Anindilyagwa,xd776,anin1240,Anindilyakwa,Gunwinyguan,EA004,0,0-5%,1930,,
Id2,"Yolngu, Dhuwal",xd777,dhuw1249,Dhuwal,Pama-Nyungan,EA004,0,0-5%,1930,,
Id3,Tiwi,xd778,tiwi1244,Tiwi,,EA004,0,0-5%,1920,Tiwi Tribe: Melville Island,
Id4,Diyari,xd779,dier1241,Dieri,Pama-Nyungan,EA004,0,0-5%,1900,,
Id5,Kariyarra,xd780,kari1304,Kariyarra,Pama-Nyungan,EA004,0,0-5%,1910,,
Id6,Wikmunkan,xd781,wikm1247,Wik-Mungkan,Pama-Nyungan,EA004,0,0-5%,1920,with special reference to the Archer River group,
Id7,Murriny Patha,xd782,murr1258,Murriny Patha,Southern Daly,EA004,0,0-5%,1940,,
Id8,Tasmanians (northwestern),xd783,port1278,Port Sorell,Western Tasmanian,EA004,0,0-5%,1830,,
Id9,Ngiyambaa,xd784,wang1291,Ngiyambaa,Pama-Nyungan,EA004,0,0-5%,1910,,
Ie10,Motu,xd786,motu1246,Motu,Austronesian,EA004,0,0-5%,1950,with special reference to the Western Motu,
Ie13,Kiwai,xd789,sout2949,Southern Kiwai,Kiwaian,EA004,0,0-5%,1920,,
Ie18,Kimam,xd794,kima1246,Kimaama,Kolopom,EA004,0,0-5%,1940,Bamol Village,
Ie30,Mimika,xd808,kamo1255,Kamoro,Nuclear Trans New Guinea,EA004,0,0-5%,1950,,
Ie33,Soromadja,xd811,nucl1595,Kwerba,Greater Kwerba,EA004,0,0-5%,1950,with special reference to the village of Muramarew,
Ie34,Bgu,xd812,bong1287,Bonggo,Austronesian,EA004,0,0-5%,1960,,
If13,Nauruans,xd828,naur1243,Nauru,Austronesian,EA004,0,0-5%,1900,,
If15,Carolinians,xd830,caro1242,Carolinian,Austronesian,EA004,0,0-5%,1930,,
If17,Marshallese,xd832,rata1243,Ratak,Austronesian,EA004,0,0-5%,1900,with special reference to the island of Jaluit,
If2,Trukese,xd833,chuu1238,Chuukese,Austronesian,EA004,0,0-5%,1940,Romonum Island,
If7,Gilbert Onotoa,xd838,nuii1237,Nui,Austronesian,EA004,0,0-5%,1940,with special reference to the inhabitants of Onotoa,
Ig11,Rossel Islanders,xd843,yele1255,Yele,,EA004,0,0-5%,1920,,
Ig13,Aua,xd845,wuvu1239,Wuvulu-Aua,Austronesian,EA004,0,0-5%,1900,,
Ig17,Kombe,xd849,mudu1242,Muduapa,Austronesian,EA004,0,0-5%,1950,,Primarily traders
Ig18,Kwaio,xd850,kwai1243,Kwaio,Austronesian,EA004,0,0-5%,1960,,
Ig6,Ulawans,xd858,saaa1240,Sa'a,Austronesian,EA004,0,0-5%,1900,,
Ih14,Mbau Fijians,xd867,bauu1243,Bau (Fijian),Austronesian,EA004,0,0-5%,1840,"Bau Chiefdom, Vanua Levu",
Ih8,Vanua Levu,xd874,nort2843,Northeast Vanua Levu,Austronesian,EA004,0,0-5%,1940,with special reference to the village of Nakaroka,
Ii10,Rennell Islanders,xd877,renn1242,Rennell-Bellona,Austronesian,EA004,0,0-5%,1950,,
Ii13,Uveans,xd879,wall1257,East Uvean,Austronesian,EA004,0,0-5%,1830,,
Ii2,Tikopia,xd881,tiko1237,Tikopia,Austronesian,EA004,0,0-5%,1930,Ravenga District,
Ii5,Ontong Java,xd884,onto1237,Luangiua,Austronesian,EA004,0,0-5%,1920,"Leuenuwa, Lord Howe's Islanders",
Ii6,Tokelau,xd885,toke1240,Tokelau,Austronesian,EA004,0,0-5%,1900,with special reference to Atafu,
Ii9,Niueans,xd888,niue1239,Niuean,Austronesian,EA004,0,0-5%,1840,,
Ij1,Mangaians,xd889,raro1241,Southern Cook Island Maori,Austronesian,EA004,0,0-5%,1820,,
Ij10,Tongarevans,xd890,penr1237,Māngarongaro,Austronesian,EA004,0,0-5%,1900,,
Ij2,Māori,xd891,maor1246,Maori,Austronesian,EA004,0,0-5%,1820,Nga Puhi Tribe,
