society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
Nb30,Takelma,xd1091,take1257,Takelma,,EA202,27.0,,1884,,in 1884; note focal year for cultural data is 1860
Nc11,Yana,xd1109,yana1271,Yana,,EA202,35.0,,1884,,in 1884; note focal year for cultural data is 1860
Nc34,Kiliwa,xd1134,kili1268,Kiliwa,Cochimi-Yuman,EA202,36.0,,1929,,in 1929; note focal year for cultural data is 1880
Na27,Tahltan,xd1043,tahl1239,Tahltan,Athabaskan-Eyak-Tlingit,EA202,50.0,,1885,,in 1885; note focal year for cultural data is 1870
Ie36,Samarokena,xd814,sama1240,Samarokena,Greater Kwerba,EA202,68.0,,1955,,
Nd50,Panguitch,xd1186,utee1244,Ute,Uto-Aztecan,EA202,68.0,,1870,,
Nd33,Beatty,xd1167,pana1305,Panamint,Uto-Aztecan,EA202,70.0,,1875,including the Belted Range group,
Na38,Katikitegon,xd1054,uppe1274,Upper Michigan-Wisconsin Chippewa,Algic,EA202,76.0,,1940,with special reference to the Lac Vieux Desert band,in 1940; note focal year for cultural data is 1800
Sf9,Uru,xd1382,uruu1244,Uru,Uru-Chipaya,EA202,99.0,,1931,with special reference to those just south of Lake Titicaca in Bolivia across the Desaguadero River from Peru,"Data source gives population number as ""fewer than 100"""
Ec9,Nanai,xd637,nana1257,Nanai,Tungusic,EA202,100.0,,1930,,
Ej2,Mnong Gar,xd724,east2333,Eastern Mnong,Austroasiatic,EA202,100.0,,1948,with special reference to the village of Sar Luk,
Nb10,Alkatcho,xd1069,sout2958,Southern Carrier,Athabaskan-Eyak-Tlingit,EA202,100.0,,1936,,in 1936; note focal year for cultural data is 1865
Nb19,Lower Chinook,xd1078,chin1286,Chinook,Chinookan,EA202,100.0,,1853,,
Nc10,Achumawi,xd1108,achu1247,Achumawi,Palaihnihan,EA202,100.0,,1936,,in 1936; note focal year for cultural data is 1860
Nc30,Serrano,xd1130,serr1255,Serrano,Uto-Aztecan,EA202,100.0,,1910,,"in 1910; Data source gives population number as ""slightly more than 100""; note focal year for cultural data is 1870"
Nd32,Tümpisa Shoshone (Saline and Panamint),xd1166,pana1305,Panamint,Uto-Aztecan,EA202,100.0,,1870,with special reference to those of Saline Valley,in 1870; Only 65 people in 1870; note focal year for cultural data is 1850
Nh9,Picuris,xd1285,picu1248,Picuris Northern Tiwa,Kiowa-Tanoan,EA202,100.0,,,,"Date for population estimate missing; Data source gives population data as ""slightly more than 100"""
Se11,Chácobo,xd1364,chac1251,Chácobo,Pano-Tacanan,EA202,100.0,,1960,,The actual population figure was 145 as of the date cited.
Si6,Guató,xd1403,guat1253,Guató,,EA202,100.0,,1901,,
Si8,Umotina,xd1405,umot1240,Umotína,Bororoan,EA202,100.0,,1949,,The actual figure was 65 as of the date cited.
Sj3,Aweikoma,xd1411,xokl1240,Xokleng,Nuclear-Macro-Je,EA202,100.0,,1934,Duque de Caxias Reservation,in 1934; The actual figure is 106; note focal year for cultural data is 1910
Ij5,Raroians,xd894,tuam1242,Tuamotuan,Austronesian,EA202,109.0,,1950,,in 1950; note focal year for cultural data is 1900
Si5,Kamayurá,xd1402,kama1373,Kamayurá,Tupian,EA202,110.0,,1948,,
Ng9,Catawba,xd1258,cata1286,Catawba,Siouan,EA202,124.0,,1910,,
Nd29,Tunava (Deep Springs and Fish Lake),xd1162,mono1275,Mono (USA),Uto-Aztecan,EA202,125.0,,1870,including the Deep Springs Valley and Fish Lake Valley groups,
Nd57,Pahvant,xd1193,utee1244,Ute,Uto-Aztecan,EA202,134.0,,1870,,
Nd23,Atsakudokwa,xd1156,nort1551,North Northern Paiute,Uto-Aztecan,EA202,140.0,,1870,,
Si10,Kuikuru,xd1398,kuik1246,Kuikúro-Kalapálo,Cariban,EA202,145.0,,1954,,
Sd2,Tapirapé,xd1354,tapi1254,Tapirapé,Tupian,EA202,147.0,,1939,,recently extinct
Id6,Wikmunkan,xd781,wikm1247,Wik-Mungkan,Pama-Nyungan,EA202,150.0,,1929,with special reference to the Archer River group,"1,500 aboriginally"
Na39,Eastern Ojibwa,xd1055,east2542,Eastern Ojibwa,Algic,EA202,150.0,,1929,with special reference to the Kitchibuan of Parry Island,in 1929; note focal year for cultural data is 1870
Nc22,Patwin,xd1121,patw1250,Patwin,Wintuan,EA202,150.0,,1924,with special reference to the Hill Patwin,in 1924; note focal year for cultural data is 1850
Nd24,Kidutokado,xd1157,nort1551,North Northern Paiute,Uto-Aztecan,EA202,150.0,,1873,,
Sh4,Kadiwéu,xd1391,kadi1248,Kadiwéu,Guaicuruan,EA202,150.0,,1937,,
Na1,Nabesna,xd1026,uppe1437,Upper Tanana,Athabaskan-Eyak-Tlingit,EA202,152.0,,1930,,
Sb7,Yupa,xd1332,yukp1241,Yukpa,Cariban,EA202,156.0,,1954,with special reference to the Pariri,
Na28,Sekani,xd1044,seka1250,Sekani,Athabaskan-Eyak-Tlingit,EA202,160.0,,1923,,in 1923; note focal year for cultural data is 1880
Sj7,Apinaye,xd1415,apin1244,Apinayé,Nuclear-Macro-Je,EA202,160.0,,1937,,in 1937; note focal year for cultural data is 1920
If12,Bikinians,xd827,rali1241,Rälik,Austronesian,EA202,170.0,,1935,,
Ng2,Seminole,xd1251,mika1239,Mikasuki,Muskogean,EA202,175.0,,1939,with special reference to the Cow Creek band,
Id7,Murriny Patha,xd782,murr1258,Murriny Patha,Southern Daly,EA202,176.0,,1950,,
Sd7,Wai-wai,xd1359,waiw1244,Waiwai,Cariban,EA202,180.0,,1954,,
Na45,Mistissini Cree,xd1062,sout2978,Southern East Cree,Algic,EA202,187.0,,1914,,in 1914; note focal year for cultural data is 1900
Cf3,Tristan da Cunha,xd538,stan1293,English,Indo-European,EA202,188.0,,1938,,population evacuated in 1961 because of a volcanic eruption.
Cg4,Sami,xd544,nort2671,North Saami,Uralic,EA202,200.0,,1951,Konkama District,The actual figure is 191 (EA-Summary).
Ed1,Koreans,xd638,kore1280,Korean,Koreanic,EA202,200.0,,1947,Kanghwa Island,The actual population of Sondup'o is 169 persons.
Eh4,Vedda,xd690,vedd1240,Veddah,Indo-European,EA202,200.0,,1882,with special reference to the Rock Vedda,in 1882; See HRAF reference 1:42; note focal year for cultural data is 1900
Ie1,Mee,xd785,ekar1243,Ekari,Nuclear Trans New Guinea,EA202,200.0,,1954,"Botukebo village, Kamu Valley,  Ijaaj-Pigome confederacy",The total population of Botukebo was 181 in +1954.
