society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
Aa1,!Kung,xd1,juho1239,South-Eastern Ju,Kxa,EA040,1,Absence or near absence,1950,Nyai Nyae region,
Aa2,Dorobo,xd2,okie1245,Okiek,Nilotic,EA040,1,Absence or near absence,1920,with special reference to Central Dorobo,
Aa5,Mbuti,xd5,bila1255,Bila,Atlantic-Congo,EA040,1,Absence or near absence,1930,"Epulu net-hunters, Ituri forest",
Aa7,Naron,xd7,naro1249,Naro,Khoe-Kwadi,EA040,1,Absence or near absence,1910,,
Aa8,/Xam,xd8,xamm1241,/Xam,Tuu,EA040,1,Absence or near absence,1850,,
Aa9,Hadza,xd9,hadz1240,Hadza,,EA040,1,Absence or near absence,1910,Hatsa Kindiga Tribe,
Ac32,Kaonde,xd58,kaon1241,Kaonde,Atlantic-Congo,EA040,1,Absence or near absence,1920,,
Ac5,Lamba,xd71,lamb1271,Lamba,Atlantic-Congo,EA040,1,Absence or near absence,1920,,
Ac7,Yao,xd73,yaoo1241,Yao,Atlantic-Congo,EA040,1,Absence or near absence,1920,,
Ad33,Pokomo,xd102,poko1261,Pokomo,Atlantic-Congo,EA040,1,Absence or near absence,1900,,
Ae31,Budu,xd151,budu1250,Budu,Atlantic-Congo,EA040,1,Absence or near absence,1920,,
Ae36,Bombesa,xd156,mbes1238,Mbesa,Atlantic-Congo,EA040,1,Absence or near absence,1920,,"Possibly goats, though not specifically reported"
Ae38,Ndoko,xd158,doko1244,Doko (Democratic Republic of Congo),Atlantic-Congo,EA040,1,Absence or near absence,1920,,"Possibly 'no plow animals' (EA039 code ""1""), 'sheep and goats' (EA040 code ""3""), and 'absence or near absence of milking' (EA041 code ""1""), though there is no specific mention of goats"
Ae39,Ngombe,xd159,binj1250,Binja,Atlantic-Congo,EA040,1,Absence or near absence,1920,,
Ae46,Mpongwe,xd167,myen1241,Myene,Atlantic-Congo,EA040,1,Absence or near absence,1870,,
Ae5,Bamileke,xd171,fefe1239,Fe'fe',Atlantic-Congo,EA040,1,Absence or near absence,1910,,
Ag7,Bozo,xd295,tiey1235,Tiéyaxo Bozo,Mande,EA040,1,Absence or near absence,1930,,But the Fulani of Masina pasture their herds in Bozo country in the dry season
Ai3,Azande,xd359,zand1248,Zande,Atlantic-Congo,EA040,1,Absence or near absence,1920,,
Ec1,Nivkh,xd617,gily1242,Nivkh,,EA040,1,Absence or near absence,1920,Sakhalin Island,
Ec6,Yukaghir,xd634,nort2745,Northern Yukaghir,Yukaghir,EA040,1,Absence or near absence,1850,Upper Kolyma River,
Ec7,Ainu,xd635,ainu1240,Hokkaido Ainu,Ainu,EA040,1,Absence or near absence,1900,Saru Basin in Hokkaido,
Eg9,Baiga,xd685,chha1249,Chhattisgarhi,Indo-European,EA040,1,Absence or near absence,1930,,
Eh1,Andamanese,xd686,akab1249,Aka-Bea,Great Andamanese,EA040,1,Absence or near absence,1870,,
Eh4,Vedda,xd690,vedd1240,Veddah,Indo-European,EA040,1,Absence or near absence,1900,with special reference to the Rock Vedda,
Ej14,Senoi,xd721,sema1266,Semai,Austroasiatic,EA040,1,Absence or near absence,1960,with special reference to the eastern Semai,
Ej3,Semang,xd725,kens1248,Kensiu,Austroasiatic,EA040,1,Absence or near absence,1920,Jehai Group or subtribe,
Ej6,Moken,xd728,moke1242,Moken,Austronesian,EA040,1,Absence or near absence,1920,of the Mergui Archipelago,
Ib8,Anak Dalam,xd757,kubu1239,Kubu,Austronesian,EA040,1,Absence or near absence,1900,with special reference to the Ridan group,
Id1,Northern Aranda,xd772,east2379,Eastern Arrernte,Pama-Nyungan,EA040,1,Absence or near absence,1900,Alice Springs and environs,
Id10,Walbiri,xd773,warl1254,Warlpiri,Pama-Nyungan,EA040,1,Absence or near absence,1930,,
Id11,Gidjingali,xd774,gunn1248,Gun-narda,Maningrida,EA040,1,Absence or near absence,1950,,
Id12,Yir Yoront,xd775,jirj1239,Jir'jorond,Pama-Nyungan,EA040,1,Absence or near absence,1930,,
Id13,Anindilyagwa,xd776,anin1240,Anindilyakwa,Gunwinyguan,EA040,1,Absence or near absence,1930,,
Id2,"Yolngu, Dhuwal",xd777,dhuw1249,Dhuwal,Pama-Nyungan,EA040,1,Absence or near absence,1930,,
Id3,Tiwi,xd778,tiwi1244,Tiwi,,EA040,1,Absence or near absence,1920,Tiwi Tribe: Melville Island,
Id4,Diyari,xd779,dier1241,Dieri,Pama-Nyungan,EA040,1,Absence or near absence,1900,,
Id5,Kariyarra,xd780,kari1304,Kariyarra,Pama-Nyungan,EA040,1,Absence or near absence,1910,,
Id6,Wikmunkan,xd781,wikm1247,Wik-Mungkan,Pama-Nyungan,EA040,1,Absence or near absence,1920,with special reference to the Archer River group,
Id7,Murriny Patha,xd782,murr1258,Murriny Patha,Southern Daly,EA040,1,Absence or near absence,1940,,
Id8,Tasmanians (northwestern),xd783,port1278,Port Sorell,Western Tasmanian,EA040,1,Absence or near absence,1830,,
Id9,Ngiyambaa,xd784,wang1291,Ngiyambaa,Pama-Nyungan,EA040,1,Absence or near absence,1910,,
Ie13,Kiwai,xd789,sout2949,Southern Kiwai,Kiwaian,EA040,1,Absence or near absence,1920,,
Ie30,Mimika,xd808,kamo1255,Kamoro,Nuclear Trans New Guinea,EA040,1,Absence or near absence,1950,,
If13,Nauruans,xd828,naur1243,Nauru,Austronesian,EA040,1,Absence or near absence,1900,,But pigs have been introduced
Ig13,Aua,xd845,wuvu1239,Wuvulu-Aua,Austronesian,EA040,1,Absence or near absence,1900,,
Ii10,Rennell Islanders,xd877,renn1242,Rennell-Bellona,Austronesian,EA040,1,Absence or near absence,1950,,
Ii2,Tikopia,xd881,tiko1237,Tikopia,Austronesian,EA040,1,Absence or near absence,1930,Ravenga District,
Ii5,Ontong Java,xd884,onto1237,Luangiua,Austronesian,EA040,1,Absence or near absence,1920,"Leuenuwa, Lord Howe's Islanders",
Ii6,Tokelau,xd885,toke1240,Tokelau,Austronesian,EA040,1,Absence or near absence,1900,with special reference to Atafu,
Ii9,Niueans,xd888,niue1239,Niuean,Austronesian,EA040,1,Absence or near absence,1840,,
Ij1,Mangaians,xd889,raro1241,Southern Cook Island Maori,Austronesian,EA040,1,Absence or near absence,1820,,The pig was introduced by Europeans in the 1820s
Ij10,Tongarevans,xd890,penr1237,Māngarongaro,Austronesian,EA040,1,Absence or near absence,1900,,
Ij2,Māori,xd891,maor1246,Maori,Austronesian,EA040,1,Absence or near absence,1820,Nga Puhi Tribe,
Ij4,Manihikians,xd893,raka1237,Rakahanga-Manihiki,Austronesian,EA040,1,Absence or near absence,1850,,
Ij5,Raroians,xd894,tuam1242,Tuamotuan,Austronesian,EA040,1,Absence or near absence,1900,,
Ij7,Mangarevans,xd896,mang1401,Mangareva,Austronesian,EA040,1,Absence or near absence,1900,,
Ij9,Easter Islanders,xd898,rapa1244,Rapanui,Austronesian,EA040,1,Absence or near absence,1860,,
Na1,Nabesna,xd1026,uppe1437,Upper Tanana,Athabaskan-Eyak-Tlingit,EA040,1,Absence or near absence,1930,,
Na10,Chugach,xd1027,chug1254,Chugach,Eskimo-Aleut,EA040,1,Absence or near absence,1930,,
Na12,Nunamiut,xd1029,nort2944,North Slope Inupiatun,Eskimo-Aleut,EA040,1,Absence or near absence,1950,,
Na13,Baffin Island Inuit,xd1030,baff1240,North Baffin Inuktitut,Eskimo-Aleut,EA040,1,Absence or near absence,1880,,
Na14,Inughuit (Northern Greenland),xd1031,pola1254,Polar Eskimo,Eskimo-Aleut,EA040,1,Absence or near absence,1880,,
Na15,Tlicho,xd1032,dogr1252,Dogrib,Athabaskan-Eyak-Tlingit,EA040,1,Absence or near absence,1860,,
Na16,Délįne,xd1033,nort2942,North Slavey,Athabaskan-Eyak-Tlingit,EA040,1,Absence or near absence,1860,,
Na17,DeneTha,xd1034,sout2959,South Slavey,Athabaskan-Eyak-Tlingit,EA040,1,Absence or near absence,1860,"Lynx Point band, Fort Simpson",
Na19,Dakelh,xd1035,carr1249,Carrier,Athabaskan-Eyak-Tlingit,EA040,1,Absence or near absence,1880,with special reference to the Hwitsowitenne,
Na2,Tareumiut,xd1036,nort2944,North Slope Inupiatun,Eskimo-Aleut,EA040,1,Absence or near absence,1880,,
Na20,Kutchin,xd1037,gwic1235,Gwich'in,Athabaskan-Eyak-Tlingit,EA040,1,Absence or near absence,1880,with special reference to the Tatlit of Peel River Kutchin,
Na21,Caribou Inuit,xd1038,cari1277,Kivalliq,Eskimo-Aleut,EA040,1,Absence or near absence,1900,,
Na22,Iglulik Inuit,xd1025,west2618,Western Canadian Inuktitut,Eskimo-Aleut,EA040,1,Absence or near absence,1920,with special reference to the Aivilingmiut and Iglulingmiut,
Na23,Labrador Inuit,xd1039,labr1244,North Labrador Eskimo,Eskimo-Aleut,EA040,1,Absence or near absence,1890,with special reference to the Koksoagmiu,
Na24,Tasiilaq,xd1040,tunu1234,Tunumiisiut,Eskimo-Aleut,EA040,1,Absence or near absence,1880,,
Na25,Kalaallit (West Greenland),xd1041,kala1399,Kalaallisut,Eskimo-Aleut,EA040,1,Absence or near absence,1910,with special reference to the inhabitants of the Egesminde District,
Na26,Dena'ina,xd1042,tana1289,Tanaina,Athabaskan-Eyak-Tlingit,EA040,1,Absence or near absence,1870,with special reference to the Iliamna,
Na27,Tahltan,xd1043,tahl1239,Tahltan,Athabaskan-Eyak-Tlingit,EA040,1,Absence or near absence,1870,,
Na28,Sekani,xd1044,seka1250,Sekani,Athabaskan-Eyak-Tlingit,EA040,1,Absence or near absence,1880,,
Na29,Beaver,xd1045,beav1236,Beaver,Athabaskan-Eyak-Tlingit,EA040,1,Absence or near absence,1850,,But horses were introduced in the late nineteenth century
Na3,Copper Inuit,xd1022,copp1244,Inuinnaqtun,Eskimo-Aleut,EA040,1,Absence or near absence,1920,Coronation Gulf,
Na30,Dene,xd1046,chip1261,Chipewyan,Athabaskan-Eyak-Tlingit,EA040,1,Absence or near absence,1880,,
Na31,Eastern Cree,xd1047,sout2978,Southern East Cree,Algic,EA040,1,Absence or near absence,1850,with special reference to those of Albany and Moose Creek,
Na32,Montagnais,xd1048,mont1268,Montagnais,Algic,EA040,1,Absence or near absence,1880,Lake St. John & Mistassini Band,
Na33,Northern Saulteaux,xd1049,alba1270,Albany River Ojibwa,Algic,EA040,1,Absence or near absence,1870,Berens River band,
Na34,Pekangekum,xd1050,lacs1238,Lac Seul Ojibwa,Algic,EA040,1,Absence or near absence,1940,a band of Northern Saulteaux very closely akin to Na33 (Berens River band) but described as of a much more recent date,
Na35,Nipigon,xd1051,cent2136,Central Ojibwa,Algic,EA040,1,Absence or near absence,1800,,
Na36,Minnesota Ojibwa,xd1052,redl1238,Red Lake Chippewa,Algic,EA040,1,Absence or near absence,1860,with special reference to the Red Lake and White Earth bands,
Na37,Rainy River Ojibwe,xd1053,rain1239,Rainy River Ojibwa,Algic,EA040,1,Absence or near absence,1880,,
Na38,Katikitegon,xd1054,uppe1274,Upper Michigan-Wisconsin Chippewa,Algic,EA040,1,Absence or near absence,1800,with special reference to the Lac Vieux Desert band,
Na39,Eastern Ojibwa,xd1055,east2542,Eastern Ojibwa,Algic,EA040,1,Absence or near absence,1870,with special reference to the Kitchibuan of Parry Island,
Na4,Kaska,xd1056,kask1239,Kaska,Athabaskan-Eyak-Tlingit,EA040,1,Absence or near absence,1920,Upper Liard and Dease River Group,
Na40,Ottawa,xd1057,otta1242,Ottawa,Algic,EA040,1,Absence or near absence,1650,,
Na41,Mi'kmaq,xd1058,mikm1235,Mi'kmaq,Algic,EA040,1,Absence or near absence,1700,Mainland division,
Na42,Potawatomi,xd1059,pota1247,Potawatomi,Algic,EA040,1,Absence or near absence,1760,Prairie Potawatomi,
Na43,Netsilik,xd1060,nets1241,Natsilingmiutut,Eskimo-Aleut,EA040,1,Absence or near absence,1920,,
Na44,Taqagmiut,xd1061,queb1248,Nunavik,Eskimo-Aleut,EA040,1,Absence or near absence,1910,,
Na45,Mistissini Cree,xd1062,sout2978,Southern East Cree,Algic,EA040,1,Absence or near absence,1900,,
Na5,Naskapi,xd1063,nask1242,Naskapi,Algic,EA040,1,Absence or near absence,1890,"with special reference to the northern bands (Barren Ground, Ungava, White Whale River)",
Na6,Nunivak,xd1064,kusk1241,General Central Yup'ik,Eskimo-Aleut,EA040,1,Absence or near absence,1930,,
Na7,Attawapiskat Cree,xd1065,swam1239,Swampy Cree,Algic,EA040,1,Absence or near absence,1900,with special reference to the Attawapiskat Swampy Cree,
Na8,Deg Xit'an,xd1066,dege1248,Degexit'an,Athabaskan-Eyak-Tlingit,EA040,1,Absence or near absence,1880,Shageluk Village,
Na9,Aleut,xd1067,east2533,Eastern Aleut,Eskimo-Aleut,EA040,1,Absence or near absence,1830,Unalaska Branch (Eastern Aleut),
Nb1,Haida,xd1068,nort2938,Northern Haida,Haida,EA040,1,Absence or near absence,1890,Masset Town,
Nb10,Alkatcho,xd1069,sout2958,Southern Carrier,Athabaskan-Eyak-Tlingit,EA040,1,Absence or near absence,1865,,
Nb11,Nuu chah nulth,xd1070,nuuc1236,Nuu-chah-nulth,Wakashan,EA040,1,Absence or near absence,1880,with special reference to the Central Nootka,
Nb12,Klahoose,xd1071,slia1241,Sliammon,Salishan,EA040,1,Absence or near absence,1880,,
Nb13,Squamish,xd1072,squa1248,Squamish,Salishan,EA040,1,Absence or near absence,1880,,
Nb14,Comox,xd1073,isla1276,Island Comox,Salishan,EA040,1,Absence or near absence,1880,,
Nb15,Lummi,xd1074,lumm1243,Lummi,Salishan,EA040,1,Absence or near absence,1880,,
Nb16,Klallam,xd1075,clal1241,Clallam,Salishan,EA040,1,Absence or near absence,1860,,
Nb17,Puyallup,xd1076,sout2965,Southern Puget Sound Salish,Salishan,EA040,1,Absence or near absence,1870,,
Nb18,Quileute,xd1077,quil1240,Quileute,Chimakuan,EA040,1,Absence or near absence,1880,,
Nb19,Lower Chinook,xd1078,chin1286,Chinook,Chinookan,EA040,1,Absence or near absence,1850,,
Nb2,Twana,xd1079,twan1247,Twana,Salishan,EA040,1,Absence or near absence,1850,Twana Tribe,
Nb20,Tillamook,xd1080,till1254,Tillamook,Salishan,EA040,1,Absence or near absence,1870,,
Nb21,Coos,xd1081,coos1249,Hanis,Coosan,EA040,1,Absence or near absence,1860,,
Nb22,Tlingit,xd1082,tlin1245,Tlingit,Athabaskan-Eyak-Tlingit,EA040,1,Absence or near absence,1880,with special reference to the Chilkat,
Nb23,Heiltsuk,xd1083,bell1263,Bella Bella,Wakashan,EA040,1,Absence or near absence,1880,,
Nb24,Makah,xd1084,maka1318,Makah,Wakashan,EA040,1,Absence or near absence,1860,,
Nb25,Quinault,xd1085,quin1251,Quinault,Salishan,EA040,1,Absence or near absence,1860,,
Nb26,Cowichan,xd1086,cowi1241,Cowichan,Salishan,EA040,1,Absence or near absence,1880,,
Nb27,Stó:lō,xd1087,chil1281,Chiliwack,Salishan,EA040,1,Absence or near absence,1880,with special reference to the Tait,
