taxon_name	biomes	Boreal Forests/Taiga	Deserts & Xeric Shrublands	Flooded Grasslands & Savannas	Mangroves	Mediterranean Forests, Woodlands & Scrub	Montane Grasslands & Shrublands	Temperate Broadleaf & Mixed Forests	Temperate Conifer Forests	Temperate Grasslands, Savannas & Shrublands	Tropical & Subtropical Coniferous Forests	Tropical & Subtropical Dry Broadleaf Forests	Tropical & Subtropical Grasslands, Savannas & Shrublands	Tropical & Subtropical Moist Broadleaf Forests	Tundra
Aepyceros melampus	1	0	0	0	0	0	0	0	0	0	0	0	11	0	0
Alcelaphus buselaphus	3	0	1	1	0	0	0	0	0	0	0	0	9	0	0
Alcelaphus caama	3	0	4	1	0	0	0	0	0	0	0	0	5	0	0
Alces alces	3	6	0	0	0	0	0	3	0	0	0	0	0	0	2
Alces americanus	4	1	0	0	0	0	0	3	4	0	0	0	0	0	2
Antidorcas marsupialis	3	0	6	2	0	0	0	0	0	0	0	0	3	0	0
Antilocapra americana	3	0	4	0	0	0	0	0	1	1	0	0	0	0	0
Antilope cervicapra	3	0	5	0	0	0	0	0	0	0	0	1	0	4	0
Axis axis	4	0	1	0	1	0	0	0	0	0	0	4	0	3	0
Axis porcinus	2	0	0	0	0	0	0	0	0	0	0	0	4	6	0
Bison bison	2	0	1	0	0	0	0	0	9	0	0	0	0	0	0
Bison bonasus	1	0	0	0	0	0	0	10	0	0	0	0	0	0	0
Blastocerus dichotomus	3	0	0	1	0	0	0	0	0	1	0	0	7	0	0
Bos frontalis	2	0	0	0	0	0	0	0	0	0	0	5	0	7	0
Bos grunniens	4	0	1	0	0	0	3	0	3	2	0	0	0	0	0
Bos javanicus	1	0	0	0	0	0	0	0	0	0	0	0	10	0	0
Bos taurus	3	0	2	0	0	0	0	5	0	0	0	0	7	0	0
Boselaphus tragocamelus	3	0	0	1	0	0	0	0	0	0	0	5	0	5	0
Bubalus bubalis	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0
Budorcas taxicolor	3	0	0	0	0	0	1	4	5	0	0	0	0	0	0
Capra hircus	4	0	2	0	0	5	0	2	0	1	0	0	0	0	0
Capra ibex	1	0	0	0	0	0	0	0	10	0	0	0	0	0	0
Capra nubiana	2	0	10	0	0	1	0	0	0	0	0	0	0	0	0
Capra pyrenaica	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0
Capra sibirica	2	0	3	0	0	0	5	0	0	0	0	0	0	0	0
Capreolus capreolus	3	1	0	0	0	0	0	9	2	0	0	0	0	0	0
Capreolus pygargus	2	0	0	0	0	0	0	7	0	3	0	0	0	0	0
Capricornis crispus	2	0	0	0	0	0	0	6	1	0	0	0	0	0	0
Capricornis swinhoei	1	0	0	0	0	0	0	0	0	0	0	0	0	10	0
Catagonus wagneri	1	0	0	0	0	0	0	0	0	0	0	0	10	0	0
Cephalophus dorsalis	1	0	0	0	0	0	0	0	0	0	0	0	0	10	0
Cephalophus jentinki	1	0	0	0	0	0	0	0	0	0	0	0	0	10	0
Cephalophus natalensis	3	0	0	0	1	0	0	0	0	0	0	0	1	7	0
Cephalophus niger	1	0	0	0	0	0	0	0	0	0	0	0	0	11	0
Cephalophus nigrifrons	2	0	0	0	0	0	2	0	0	0	0	0	0	6	0
Cephalophus rufilatus	1	0	0	0	0	0	0	0	0	0	0	0	10	0	0
Cephalophus silvicultor	2	0	0	0	0	0	0	0	0	0	0	0	1	9	0
Cephalophus zebra	1	0	0	0	0	0	0	0	0	0	0	0	0	10	0
Ceratotherium simum	3	0	2	0	0	0	0	0	0	0	0	0	11	1	0
Cervus elaphus	4	1	0	0	0	0	0	2	4	0	0	0	0	0	1
Cervus nippon	2	0	0	0	0	0	0	8	1	0	0	0	0	0	0
Connochaetes gnou	3	0	3	0	0	0	3	0	0	0	0	0	1	0	0
Connochaetes taurinus	2	0	0	0	0	0	0	0	0	0	0	0	6	2	0
Dama dama	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0
Damaliscus korrigum	1	0	0	0	0	0	0	0	0	0	0	0	9	0	0
